No,Entity Name,Science Center,Assessment Year,Last Data Year,Assessment Level,Citation,Comments,Best F,F Year,Flimit,Fmsy,F/Flimit,F/Fmsy,Best B,B Year,B/Blimit,B/Bmsy,Stock Level Relative to Bmsy,Bmsy,Blim
132,Offshore hake - Northwestern Atlantic Coast,NEFSC,2003,2002,1,NEFSC SAFE Report,,,,,,,,,,,,,,
133,Offshore hake - Northwestern Atlantic Coast,NEFSC,2011,2009,1,NEFSC CRD 11-01 (2011),Current BRPs were rejected in 2010 by SAW/SARC51 and no alternative BRPs were recommended.,,,,,,,,,,,UNKNOWN,,
134,Pollock - Gulf of Maine / Georges Bank,NEFSC,2002,2001,1,GARM Report (2002),,,,,,,,,,,,,,
135,Pollock - Gulf of Maine / Georges Bank,NEFSC,2005,2004,1,GARM Report (2005),,,,,,0.6,,,,,0.66,,,
136,Pollock - Gulf of Maine / Georges Bank,NEFSC,2008,2007,1,NEFSC CRD 08-15 (GARM III),,10.975,2007,5.66,5.66,1.939,1.939,0.754,2007,0.754,0.377,,,
137,Pollock - Gulf of Maine / Georges Bank,NEFSC,2010,2009,4,NEFSC CRD 10-09 (2010),,0.07,2009,0.25,0.25,0.28,0.28,196000,2009,4.308,2.154,ABOVE,,
138,Pollock - Gulf of Maine / Georges Bank,NEFSC,2015,2014,4,2015 operationa assessment,,0.092,2014,0.2645,0.2645,0.347826087,0.347826087,128087,2014,,1.599827636,ABOVE,80063,
139,Pollock - Gulf of Maine / Georges Bank,,2017,2016,,2017 operational assessment,,0.036,2016,0.26,0.26,0.138461538,0.138461538,"183,907",2016,,1.743029097,,"105,510",
140,Red hake - Gulf of Maine / Northern Georges Bank,NEFSC,2003,2002,1,NEFSC SAFE Report,,,,,,,,,,,,,,
141,Red hake - Gulf of Maine / Northern Georges Bank,NEFSC,2011,2009,1,NEFSC CRD#11-01 (SAW/SARC-51),"N. red hake: F Year is filled in with ""2009"". In reality, the F estimate that is entered in SIS is the average of the estimates from 3 recent years (2007 - 2009). B Year is filled in with ""2010"". In reality, the B estimate that is entered in SIS is the average of the estimates from 3 recent years (2008 - 2010). SIS requires YYYY format and can not accept a range of years. Basis for F limit and Fmsy needs a new option like ?AIM analysis?. Basis for the B limit should be the average of past survey indices, respectively. This not currently on the list of options.",0.103,2009,0.163,0.163,0.632,0.632,2.42,2010,1.906,0.953,NEAR,,
142,Red hake - Gulf of Maine / Northern Georges Bank,,2017,2016,,http://s3.amazonaws.com/nefmc.org/Document-2-SAFE-Report-for-Fishing-Year-2016.pdf,,0.09,2016,0.163,0.163,0.552147239,0.552147239,5.13,,4.039370079,2.019685039,,,1.27
143,Red hake - Southern Georges Bank / Mid-Atlantic,NEFSC,2003,2002,1,NEFSC SAFE Report,,,,,,,,,,,,,,
144,Red hake - Southern Georges Bank / Mid-Atlantic,NEFSC,2011,2009,1,NEFSC CRD#11-01 (SAW/SARC-51),"S. Red hake: F Year is filled in with ""2009"". In reality, the F estimate that is entered in SIS is the average of the estimates from 3 recent years (2007 - 2009). B Year is filled in with ""2010"". In reality, the B estimate that is entered in SIS is the average of the estimates from 3 recent spring surveys (2008 - 2010). SIS requires YYYY format and can not accept a range of years. Basis for F limit and Fmsy needs a new option like ?AIM analysis?. Basis for the B limit should be the average of past survey indices, respectively. This not currently on the list of options.",1.15,2009,3.038,3.038,0.379,0.379,0.95,2010,1.863,0.931,NEAR,,
145,Red hake - Southern Georges Bank / Mid-Atlantic,,2017,2016,,http://s3.amazonaws.com/nefmc.org/Document-2-SAFE-Report-for-Fishing-Year-2016.pdf,,4.03,2016,3.038,3.038,1.326530612,1.326530612,0.38,,0.745098039,0.37254902,,,0.51
146,Silver hake - Gulf of Maine / Northern Georges Bank,NEFSC,2003,2002,2,NEFSC SAFE Report,,,,,,0.34,,,,3.15,1.57,,,
147,Silver hake - Gulf of Maine / Northern Georges Bank,NEFSC,2005,2004,2,SARC 42 Report (2006),Partial acceptance of assessment,,,,,,,,,,,,,
148,Silver hake - Gulf of Maine / Northern Georges Bank,NEFSC,2011,2009,1,SARC-51 Report (2010; CRD #11-01),"N. Silver hake: F Year and B Year are filled in with ""2009"". In reality, the B and F estimates that are entered in SIS are the average of the estimates from 3 recent fall surveys (2007 - 2009). SIS requires YYYY format and can not accept a range of years. The basis for the F limit and B limt should be the average of past exploitation ratios and past survey indices, respectively. These are not currently on the list of options.",0.202,2009,2.78,2.78,0.073,0.073,6.2,2009,1.931,0.966,NEAR,,
149,Silver hake - Gulf of Maine / Northern Georges Bank,,2017,2016,,http://s3.amazonaws.com/nefmc.org/Document-2-SAFE-Report-for-Fishing-Year-2016.pdf,,0.15,2016,2.78,2.78,0.053956835,0.053956835,19.92,,6.205607477,3.102803738,,,3.21
150,Silver hake - Southern Georges Bank / Mid-Atlantic,NEFSC,2003,2002,2,NEFMC SAFE Report,,,,,,0.59,,,,1.55,0.78,,,
151,Silver hake - Southern Georges Bank / Mid-Atlantic,NEFSC,2005,2004,2,SARC 42 Report (2006),Partial acceptance of assessment,,,,,0.14,,,,1.54,0.77,,,
152,Silver hake - Southern Georges Bank / Mid-Atlantic,NEFSC,2011,2009,1,SARC-51 42 Report (2011; CRD 11-01),"S. Silver hake: F Year and B Year are filled in with ""2009"". In reality, the B and F estimates that are entered in SIS are the average of the estimates from 3 recent years (2007 - 2009). SIS requires YYYY format and can not accept a range of years. The basis for the Fmsy should be the average of past exploitation ratios. This is not currently on the list of options.",5.867,2009,34.19,34.19,0.172,0.172,1.11,2009,1.337,0.673,BELOW,,
153,Silver hake - Southern Georges Bank / Mid-Atlantic,,2017,2016,,http://s3.amazonaws.com/nefmc.org/Document-2-SAFE-Report-for-Fishing-Year-2016.pdf,,2.95,2016,34.17,34.17,0.086333041,0.086333041,1.05,,1.265060241,0.63253012,,,0.83
154,White hake - Gulf of Maine / Georges Bank,NEFSC,2002,2001,2,GARM Report (2002),,,,,,,,,,,0.305,,,
155,White hake - Gulf of Maine / Georges Bank,NEFSC,2005,2004,2,GARM Report (2005),,,,,,2.15,,,,,0.39,,,
156,White hake - Gulf of Maine / Georges Bank,NEFSC,2008,2007,4,NEFSC CRD 08-15 (GARM III),,0.15,2007,0.13,0.13,1.154,1.154,19800,2007,0.704,0.352,,,
157,White hake - Gulf of Maine / Georges Bank,NEFSC,2013,2011,4,NEFSC CRD 13-04,"This represents a change in white hake stock status from the previous record, which was GARM III (2008). Based on SAW/SARC56 (2013), the white hake stock is no longer overfished and overfishing is no longer occurring. The stock is not yet rebuilt.",0.13,2011,0.2,0.2,0.65,0.65,26877,2011,1.65,0.829,NEAR,,
158,White hake - Gulf of Maine / Georges Bank,NEFSC,2015,2014,4,2015 operationa assessment,,0.076,2014,0.188,0.188,0.404255319,0.404255319,28553,2014,,0.877204301,ABOVE,32550,
159,White hake - Gulf of Maine / Georges Bank,,2017,2016,,2017 operational assessment,,0.066,,0.1839,0.1839,0.358890701,0.358890701,"21,276",2016,,0.687475766,,"30,948",
160,Windowpane - Gulf of Maine / Georges Bank,NEFSC,2002,2001,1,GARM Report (2002),,,,,,0.05,,,,1.68,0.84,,,
161,Windowpane - Gulf of Maine / Georges Bank,NEFSC,2005,2004,1,GARM Report (2005),,,,,,0.03,,,,,0.83,,,
162,Windowpane - Gulf of Maine / Georges Bank,NEFSC,2008,2007,1,NEFSC CRD 08-15 (GARM III),,1.96,2007,0.5,0.5,3.92,3.92,0.24,2007,0.343,0.171,,,
163,Windowpane - Gulf of Maine / Georges Bank,NEFSC,2012,2010,1,NEFSC CRD 12-06,,0.51,2010,0.44,0.44,1.159,1.159,0.46,2010,0.575,0.288,BELOW,,
164,Windowpane - Gulf of Maine / Georges Bank,NEFSC,2015,2014,1,2015 operationa assessment,,0.393,2014,0.45,0.45,0.873333333,0.873333333,0.535,2014,,0.688545689,BELOW,0.777,
165,Windowpane - Gulf of Maine / Georges Bank,,2017,2016,,2017 operational assessment,,0.222,2016,0.34,0.34,0.652941176,0.652941176,0.359,,0.348543689,0.174271845,,,1.03
166,Windowpane - Southern New England / Mid-Atlantic,NEFSC,2002,2001,1,GARM Report (2002),,,,,,0.34,,,,0.46,0.23,,,
167,Windowpane - Southern New England / Mid-Atlantic,NEFSC,2005,2004,1,GARM Report (2005),,,,,,0.24,,,,,0.21,,,
168,Windowpane - Southern New England / Mid-Atlantic,NEFSC,2008,2007,1,NEFSC CRD 08-15 (GARM III),,1.85,2007,1.47,1.47,1.259,1.259,0.19,2007,1.118,0.559,,,
169,Windowpane - Southern New England / Mid-Atlantic,NEFSC,2012,2010,1,NEFSC CRD 12-06,This stock is rebuilt. Overfishing is not occurring. These are status changes since GARM III (2008),1.4,2010,2.09,2.09,0.67,0.67,0.35,2010,2.917,1.458,ABOVE,,
170,Windowpane - Southern New England / Mid-Atlantic,NEFSC,2015,2014,1,2015 operationa assessment,,1.308,2014,2.027,2.027,0.645288604,0.645288604,0.413,2014,,3.357723577,ABOVE,0.123,
171,Windowpane - Southern New England / Mid-Atlantic,,2017,2016,,2017 operational assessment,,1.733,2016,1.918,1.918,0.90354536,0.90354536,0.32,,2.53968254,1.26984127,,,0.126
172,Winter flounder - Georges Bank,NEFSC,2002,2001,3,GARM Report (2002),,,,,,0.781,,,,,1.05,,,
173,Winter flounder - Georges Bank,NEFSC,2005,2004,3,GARM Report (2005),,,,,,1.91,,,,,0.66,,,
174,Winter flounder - Georges Bank,NEFSC,2008,2007,4,NEFSC CRD 08-15 (GARM III),,0.28,2007,0.26,0.26,1.077,1.077,4964,2007,0.621,0.31,BELOW,,
175,Winter flounder - Georges Bank,NEFSC,2011,2010,4,NEFSC CRD 11-11 (2011),"In this assessment the reference points are direct MSY-based. This is a change from GARM III in 2008. Jim W corrected the estimates of Bmsy, 1/2Bmsy and MSY on Sept 15, 2011. A detailed explanation for why the estimates needed to be corrected is given in NEFSC CRD11-11.",0.15,2010,0.42,0.42,0.357,0.357,9703,2010,1.645,0.822,NEAR,,
176,Winter flounder - Georges Bank,NEFSC,2015,2014,4,2015 operationa assessment,,0.778,2014,0.536,0.536,1.451492537,1.451492537,2883,2014,,0.430298507,BELOW,6700,
177,Winter flounder - Georges Bank,,2017,2016,,2017 operational assessment,,0.117,2016,0.522,0.522,0.224137931,0.224137931,"3,946",2016,,0.519210526,,"7,600",
178,Winter flounder - Gulf of Maine,NEFSC,2002,2001,4,SARC 36 Report (2002),,,,,,0.33,,,,,1.44,,,
179,Winter flounder - Gulf of Maine,NEFSC,2005,2004,4,GARM Report (2005),,,,,,0.3,,,,,0.84,,,
180,Winter flounder - Gulf of Maine,NEFSC,2008,2007,4,NEFSC CRD 08-15 (GARM III),"B, F, and BRPs are presented in the NEFSC GARM-III report (CRD 08-15). They indicate the stock is overfished and overfishing occuring. However, the GARM-III reviewers were somewhat ambiguous about whether to accept this assessment. They stated that ""the proposed analysis could not be used to provide management advice nor stock projections"". However, they went on to state that ""there is a substantial probability that it [the stock] is below 1/2 Bmsy"". The NEFMC then developed Multispecies FMP Amendment 16 and based on the GARM-III concluded the stock status was unknown.",0.417,2007,0.28,0.28,1.489,1.489,1100,2007,0.58,0.29,,,
181,Winter flounder - Gulf of Maine,NEFSC,2011,2010,1,NEFSC CRD 11-11 (2011),"Analytical model was not accepted. They used a fall back analysis based on sweopt area biomass. The Fmsy proxy is F40%, and it is expressed as an annual exploitation rate, not as an instantaneous annual rate. Biomass is total biomass of fish >30 cm.",0.03,2010,0.23,0.23,0.13,0.13,6341,2010,,,UNKNOWN,,
182,Winter flounder - Gulf of Maine,NEFSC,2015,2014,1,2015 operationa assessment,,0.06,2014,0.23,0.23,0.260869565,0.260869565,4655,2014,,,UNKNOWN,,
183,Winter flounder - Gulf of Maine,,2017,2016,,2017 operational assessment,,0.086,2016,0.23,0.23,0.373913043,0.373913043,"2,585",2016,,,,,
184,Winter flounder - Southern New England / Mid-Atlantic,NEFSC,2002,2001,4,GARM Report (2002),,,,,,1.59,,,,,0.252,,,
185,Winter flounder - Southern New England / Mid-Atlantic,NEFSC,2005,2004,4,GARM Report (2005),,,,,,1.19,,,,,0.13,,,
186,Winter flounder - Southern New England / Mid-Atlantic,NEFSC,2008,2007,4,NESC CRD 08-15 (GARM III),,0.649,2007,0.25,0.25,2.596,2.596,3368,2007,0.174,0.087,,,
187,Winter flounder - Southern New England / Mid-Atlantic,NEFSC,2011,2010,4,NESC CRD 11-11 (2011),In this assessment the reference points are direct MSY-based. This is a change from GARM III in 2008.,0.051,2010,0.29,0.29,0.176,0.176,7076,2010,0.324,0.162,BELOW,,
188,Winter flounder - Southern New England / Mid-Atlantic,NEFSC,2015,2014,4,2015 operationa assessment,,0.16,2014,0.325,0.325,0.492307692,0.492307692,6151,2014,0.228423945,0.228423945,BELOW,26928,
189,Winter flounder - Southern New England / Mid-Atlantic,,2017,2016,,2017 operational assessment,,0.21,2016,0.34,0.34,0.617647059,0.617647059,"4,360",2016,0.353222344,0.176611172,,"24,687",
190,Witch flounder - Northwestern Atlantic Coast,NEFSC,2003,2002,4,SARC 37 Report (2003),,,,,,1.78,,,,,0.726,,,
191,Witch flounder - Northwestern Atlantic Coast,NEFSC,2005,2004,4,GARM Report (2005),,,,,,0.87,,,,,0.84,,,
192,Witch flounder - Northwestern Atlantic Coast,NEFSC,2008,2007,4,NEFSC CRD 08-15 (GARM III),,0.29,2007,0.2,0.2,1.45,1.45,3434,2007,0.6,0.3,,,
193,Witch flounder - Northwestern Atlantic Coast,NEFSC,2012,2010,4,NEFSC CRD 12-06,,0.47,2010,0.27,0.27,1.741,1.741,4099,2010,0.816,0.408,BELOW,,
194,Witch flounder - Northwestern Atlantic Coast,NEFSC,2016,2015,1,NEFSC CRD 17-03 (2017),"No model due to retro, Empirical area swept method used",0.03,2015,,,,,16181,2016,,,UNKNOWN,,
195,Witch flounder - Northwestern Atlantic Coast,,2017,2016,,2017 operational assessment,,0.035,2016,,,,,"14,563",,,,,,
196,Yellowtail flounder - Cape Cod / Gulf of Maine,NEFSC,2001,,4,,,,,,,,,,,,,,,
197,Yellowtail flounder - Cape Cod / Gulf of Maine,NEFSC,2002,2001,4,SARC 36 Report (2002),,,,,,9.38,,,,,0.23,,,
198,Yellowtail flounder - Cape Cod / Gulf of Maine,NEFSC,2005,2004,4,GARM Report (2005),,,,,,4.41,,,,,0.09,,,
199,Yellowtail flounder - Cape Cod / Gulf of Maine,NEFSC,2008,2007,4,NEFSC CRD 08-15 (GARM III),,0.414,,0.24,0.24,1.725,1.725,1922,,0.493,0.247,,,
200,Yellowtail flounder - Cape Cod / Gulf of Maine,NEFSC,2012,2010,4,NEFSC CRD 12-06,"The last data year in the assessment record and the time series are not the same. From Science Center Reference Document 12-06: For example, assuming that the retrospective patterns continue, rho adjusted values can be computed as X/(1+rho) where X denotes the original estimate of F or SSB. Thus, F2010 = 0.29 becomes 0.36 (=0.29/(1-0.19) and SSB2010 = 2,822 mt becomes 1,680 mt (=2822/(1+0.68). The 2010 estimates of F and SSB were relatively precise (Table D31), with the rho adjusted F remaining within the confidence interval while the rho adjusted SSB is outside the confidence interval. The Review Panel recommended use of the rho adjusted F and SSB values for status determination.",0.36,2010,0.26,0.26,1.385,1.385,1680,2010,0.475,0.237,BELOW,,
201,Yellowtail flounder - Cape Cod / Gulf of Maine,NEFSC,2015,2014,4,2015 operationa assessment,,0.35,2014,0.28,0.28,1.25,1.25,1695,2014,,0.322304621,BELOW,5259,
202,Yellowtail flounder - Cape Cod / Gulf of Maine,,2017,2016,,2017 operational assessment,,0.314,2016,0.273,0.273,1.15018315,1.15018315,"1,191",,,0.256681034,,"4,640",
203,Yellowtail flounder - Georges Bank,NEFSC,2004,2003,4,TRAC Document (2004),,,,,,0.52,,,,,0.662,,,
204,Yellowtail flounder - Georges Bank,NEFSC,2005,2004,4,GARM Report (2005),,,,,,4.75,,,,,0.27,,,
205,Yellowtail flounder - Georges Bank,NEFSC,2008,2007,4,NEFSC CRD 08-15 (GARM III),,0.289,2007,0.25,0.25,1.156,1.156,9527,2007,0.441,0.221,,,
206,Yellowtail flounder - Georges Bank,NEFSC,2009,2008,4,TRAC Status Report 2009/03,"Average of 2 results, with and without DFO surveys",0.085,2008,0.25,0.25,0.34,0.34,20350,2008,0.942,0.471,BELOW,,
207,Yellowtail flounder - Georges Bank,NEFSC,2010,2009,4,TRAC Status Report 2010/05,,0.15,2009,0.25,0.25,0.6,0.6,14000,2009,0.648,0.324,BELOW,,
208,Yellowtail flounder - Georges Bank,NEFSC,2011,2010,4,TRAC Status Report 2011/01,,0.13,2010,0.25,0.25,0.52,0.52,8800,2010,0.407,0.204,BELOW,,
209,Yellowtail flounder - Georges Bank,NEFSC,2012,2011,4,TRAC Status Report 2012/01,"In record 2012.7 for GB YT flounder, the estimates that are entered for SSB and F in 2012 were adjusted for the retrospective pattern in the model. Reporting these values is consistent with the TRAC Status Report 2013/01 which says ""a retrospective adjustment ... was applied to the terminal year estimates for both status determination and provision of catch advice"". This is different from what was done last year in the SIS record because it has the unadjusted values entered in SIS.; The point estimates of F and SSB for 2011 that are entered on the SIS form were not adjusted for the retrospective pattern. If they had been adjusted, the report states that F is expected to increase substantially and 2011 SSB is expected to decrease substantially. Also, overfishing is now occuring. This represents a change in stock status from the previous update.",0.31,2011,0.25,0.25,1.24,1.24,4600,2011,0.213,0.106,BELOW,,
210,Yellowtail flounder - Georges Bank,NEFSC,2013,2012,4,TRAC Status Report 2016,,0.78,2012,0.25,0.25,3.12,3.12,869,2012,0.04,0.02,BELOW,,
211,Yellowtail flounder - Georges Bank,NEFSC,2016,,4,TRAC Status Report 2013/02,,,,,,,,,,,,UNKNOWN,,
212,Yellowtail flounder - Georges Bank,,2017,2016,,2017 operational assessment,,,,,,,,,,,,,,
213,Yellowtail flounder - Southern New England / Mid-Atlantic,NEFSC,2002,2001,4,SARC 36 Report (2002),,,,,,3.5,,,,,0.027,,,
214,Yellowtail flounder - Southern New England / Mid-Atlantic,NEFSC,2005,2004,4,GARM Report (2005),,,,,,3.81,,,,,0.01,,,
215,Yellowtail flounder - Southern New England / Mid-Atlantic,NEFSC,2008,2007,4,NEFSC CRD 08-15 (GARM III),,0.413,2007,0.25,0.25,1.652,1.652,3508,2007,0.256,0.128,,,
216,Yellowtail flounder - Southern New England / Mid-Atlantic,NEFSC,2012,2011,4,"NEFSC CRD 12-14 (SAW/SARC 54); NEFMC SSC memo to Paul Howard 24 Sept, 2012; NEFSC Directorate email to NERO (Darcy) Sept. 19, 2012.",,0.12,2011,0.316,0.316,0.38,0.38,3873,2011,2.587,1.293,ABOVE,,
217,Yellowtail flounder - Southern New England / Mid-Atlantic,NEFSC,2015,2014,4,2015 operationa assessment,,1.64,2014,0.35,0.35,4.685714286,4.685714286,502,2014,,0.25625319,BELOW,1959,
218,Yellowtail flounder - Southern New England / Mid-Atlantic,,2017,2016,,2017 operational assessment,,1.09,2016,0.341,0.341,3.196480938,3.196480938,152,2016,,0.08172043,,"1,860",
219,Barndoor skate - Georges Bank / Southern New England,NEFSC,1999,1998,1,SARC 30 Report (2000),,,,,,,,,,,,,,
220,Barndoor skate - Georges Bank / Southern New England,NEFSC,2006,2005,1,NEFSC CRD 07-03 (2007),"F/Flimit, F/Fmsy, and F/Ftarget are not defined.",,2005,,,,,0.96,2005,1.185,0.593,,,
221,Barndoor skate - Georges Bank / Southern New England,NEFSC,2008,2008,1,"NEFSC Memo (Thompson) April 13, 2009","Ignore F/Flimit and F/Fmsy calculated values - because F values are % change in moving average, they are not applicable.",,2008,,,,,1.02,2008,1.259,0.63,BELOW,,
222,Barndoor skate - Georges Bank / Southern New England,NEFSC,2009,2008,1,"NEFSC Memo (Thompson) April 13, 2009","F is the percent change in the average survey index from 2008-2010 compared to 2007-2009. The Fmsy proxy is the percent reduction allowed in the average survey index for the years given above, and the value for each skate species is based on variance in the survey time series. B is the average wt per survey tow during 2008-2010. Bmsy proxy is the average of the spring or fall survey time series for a particular set of years.",,2008,,,,,1.02,2008,1.259,0.63,BELOW,,
223,Barndoor skate - Georges Bank / Southern New England,NEFSC,2011,2010,1,"NEFSC Memo (Thompson) Jan. 13, 2011","F is the percent change in the average survey index from 2008-2010 compared to 2007-2009. The Fmsy proxy is the percent reduction allowed in the average survey index for the years given above, and the value for each skate species is based on variance in the survey time series. Ignore the ratio in SIS of F/Fmsy, it is not meaningful because of the quirky definition based on percentages. B is the average wt per survey tow during 2008-2010. Bmsy proxy is the average of the spring or fall survey time series for a particular set of years.",10.1,2010,-30,,-0.337,,1.11,2010,1.37,0.685,BELOW,,
224,Barndoor skate - Georges Bank / Southern New England,NEFSC,2012,2011,1,"NEFSC Memo (Karp) Aug 21, 2012","F is the percent change in the average survey index from 2009-2011 compared to 2008-2010. The Fmsy proxy is the percent reduction allowed in the average survey index for the years given above, and the value for each skate species is based on variance in the survey time series. Ignore the ratio in SIS of F/Fmsy, it is not meaningful because of the quirky definition based on percentages. B is the average wt per survey tow during 2009-2011. Bmsy proxy is the average of the spring or fall survey time series for a particular set of years.",-2.8,2011,-30,,0.093,,1.08,2011,1.385,0.688,BELOW,,
225,Barndoor skate - Georges Bank / Southern New England,NEFSC,2013,2012,1,"NEFSC Memo (Karp to Bullard) July 2, 2013","F is the percent change in the average survey index from 2010-2012 compared to 2009-2011. The Fmsy proxy is the percent reduction allowed in the average survey index for the years given above, and the value for each skate species is based on variance in the survey time series. Ignore the ratio in SIS of F/Fmsy, it is not meaningful because of the quirky definition based on percentages. B is the average wt per survey tow during 2010-2012. Bmsy proxy is the average of the spring or fall survey time series for a particular set of years.",12.6,2012,-30,,-0.42,,1.22,2012,1.564,0.777,BELOW,,
226,Barndoor skate - Georges Bank / Southern New England,,2017,2016,,skatememoJuly2017,,0.5,2016,-30,,0.016666667,,1.6,2016,2.051282051,1.01910828,,1.57,0.78
227,Clearnose skate - Southern New England / Mid-Atlantic,NEFSC,1999,1998,1,SARC 30 Report (2000),,,,,,,,,,,,,,
228,Clearnose skate - Southern New England / Mid-Atlantic,NEFSC,2006,2005,1,NEFSC CRD 07-03 (2007),"F/Flimt, F/Fmsy, and F/Ftarget are not defined.",,2005,,,,,0.63,2005,2.25,1.125,,,
229,Clearnose skate - Southern New England / Mid-Atlantic,NEFSC,2008,2008,1,"NEFSC Memo (Thompson) April 13, 2009","Ignore F/Flimit and F/Fmsy calculated values - because F values are % change in moving average, they are not applicable.",,2008,,,,,1.04,2008,2.737,1.351,ABOVE,,
230,Clearnose skate - Southern New England / Mid-Atlantic,NEFSC,2009,2008,1,"NEFSC Memo (Thompson) April 13, 2009","F is the percent change in the average survey index from 2008-2010 compared to 2007-2009. The Fmsy proxy is the percent reduction allowed in the average survey index for the years given above, and the value for each skate species is based on variance in the survey time series. Ignore the ratio in SIS of F/Fmsy and F/Flimit; they are not meaningful because of the quirky overfishing definition based on percentages. B is the average wt per survey tow during 2008-2010. Bmsy proxy is the average of the spring or fall survey time series for a particular set of years.",,2008,,,,,1.04,2008,2.737,1.351,ABOVE,,
231,Clearnose skate - Southern New England / Mid-Atlantic,NEFSC,2011,2010,1,"NEFSC Memo (Thompson) Jan. 13, 2011",,-5.1,2010,-30,,0.17,,1.1,2010,2.895,1.429,ABOVE,,
232,Clearnose skate - Southern New England / Mid-Atlantic,NEFSC,2012,2011,1,"NEFSC Memo (Karp) Aug. 21,2012","F is the percent change in the average survey index from 2009-2011 compared to 2008-2010. The Fmsy proxy is the percent reduction allowed in the average survey index for the years given above, and the value for each skate species is based on variance in the survey time series. Ignore the ratio in SIS of F/Fmsy, it is not meaningful because of the quirky definition based on percentages. B is the average wt per survey tow during 2009-2011. Bmsy proxy is the average of the spring or fall survey time series for a particular set of years.",3,2011,-40,,-0.075,,0.96,2011,2.909,1.455,ABOVE,,
233,Clearnose skate - Southern New England / Mid-Atlantic,NEFSC,2013,2012,1,"NEFSC Memo (Karp to Bullard) July 2, 2013","F is the percent change in the average survey index from 2010-2012 compared to 2009-2011. The Fmsy proxy is the percent reduction allowed in the average survey index for the years given above, and the value for each skate species is based on variance in the survey time series. Ignore the ratio in SIS of F/Fmsy, it is not meaningful because of the quirky definition based on percentages. B is the average wt per survey tow during 2010-2012. Bmsy proxy is the average of the spring or fall survey time series for a particular set of years.",1.3,2012,-40,,-0.075,,0.97,2012,2.939,1.47,ABOVE,,
234,Clearnose skate - Southern New England / Mid-Atlantic,,2017,2016,,skatememoJuly2017,,-19.5,,-40,,0.4875,,0.59,2016,1.787878788,0.893939394,,0.66,0.33
235,Little skate - Georges Bank / Southern New England,NEFSC,1999,1998,1,SARC 30 Report (2000),,,,,,,,,,,,,,
236,Little skate - Georges Bank / Southern New England,NEFSC,2006,2005,1,NEFSC CRD 07-03 (2007),"F/Flimt, F/Fmsy, and F/Ftarget are not defined.",,2005,,,,,4.59,2005,1.404,0.702,,,
237,Little skate - Georges Bank / Southern New England,NEFSC,2008,2008,1,"NEFSC Memo (Thompson) April 13, 2009","Ignore F/Flimit and F/Fmsy calculated values - because F values are % change in moving average, they are not applicable.",,2008,,,,,5.04,2008,1.436,0.717,BELOW,,
238,Little skate - Georges Bank / Southern New England,NEFSC,2009,2008,1,"NEFSC Memo (Thompson) April 13, 2009","F is the percent change in the average survey index from 2008-2010 compared to 2007-2009. The Fmsy proxy is the percent reduction allowed in the average survey index for the years given above, and the value for each skate species is based on variance in the survey time series. Ignore the ratio in SIS of F/Fmsy and F/Flimit; they are not meaningful because of the quirky overfishing definition based on percentages. B is the average wt per survey tow during 2008-2010. Bmsy proxy is the average of the spring or fall survey time series for a particular set of years.",,2008,,,,,5.04,2008,1.436,0.717,BELOW,,
239,Little skate - Georges Bank / Southern New England,NEFSC,2011,2010,1,"NEFSC Memo (Thompson) Jan. 13, 2011",,33.3,2010,-20,,-1.665,,8.15,2010,2.322,1.159,ABOVE,,
240,Little skate - Georges Bank / Southern New England,NEFSC,2012,2012,1,"NEFSC Memo (Karp) Aug. 21, 2012","F is the percent change in the average survey index from 2010-2012 compared to 2009-2011. The Fmsy proxy is the percent reduction allowed in the average survey index for the years given above, and the value for each skate species is based on variance in the survey time series. Ignore the ratio in SIS of F/Fmsy, it is not meaningful because of the quirky definition based on percentages. B is the average wt per survey tow during 2010-2012. Bmsy proxy is the average of the spring or fall survey time series for a particular set of years.",3.8,2010,-20,,-0.19,,8.35,2010,2.72,1.358,ABOVE,,
241,Little skate - Georges Bank / Southern New England,NEFSC,2013,2013,1,"NEFSC Memo (Karp to Bullard) July 2, 2013","F is the percent change in the average survey index from 2011-2013 compared to 2010-2012. The Fmsy proxy is the percent reduction allowed in the average survey index for the years given above, and the value for each skate species is based on variance in the survey time series. Ignore the ratio in SIS of F/Fmsy, it is not meaningful because of the quirky definition based on percentages. B is the average wt per survey tow during 2011-2013. Bmsy proxy is the average of the spring or fall survey time series for a particular set of years.",-14.9,2013,-20,,0.745,,7.11,2013,2.316,1.156,ABOVE,,
242,Little skate - Georges Bank / Southern New England,,2017,2016,,skatememoJuly2017,,-2.6,2016,-20,,0.13,,5.49,2016,1.788273616,0.892682927,,6.15,3.07
243,Rosette skate - Southern New England / Mid-Atlantic,NEFSC,1999,1998,1,SARC 30 Report (2000),,,,,,,,,,,,,,
244,Rosette skate - Southern New England / Mid-Atlantic,NEFSC,2006,2005,1,NEFSC CRD 07-03 (2007),"F/Flimt, F/Fmsy, and F/Ftarget are not defined.",,2005,,,,,0.05,2005,5,2.5,,,
245,Rosette skate - Southern New England / Mid-Atlantic,NEFSC,2008,2008,1,"NEFSC Memo (Thompson) April 13, 2009","Ignore F/Flimit and F/Fmsy calculated values - because F values are % change in moving average, they are not applicable.",,2008,,,,,0.052,2008,2.167,1.083,ABOVE,,
